feature,correlation,abs_correlation,p_value
oancf_over_ceq,0.08152649071955326,0.08152649071955326,1.1856563963727666e-27
ebitda_over_at,0.08139919112316144,0.08139919112316144,1.4300934791360152e-27
oibdp_over_at,0.08139919112316144,0.08139919112316144,1.4300934791360152e-27
ppent_over_icapt,0.08130710651246781,0.08130710651246781,1.6374636059205155e-27
ebit_over_emp,0.08116984688668918,0.08116984688668918,2.003112978229987e-27
oiadp_over_emp,0.08083348318355428,0.08083348318355428,3.277852442765213e-27
niadj_over_emp,0.08074900086613264,0.08074900086613264,3.708259932020406e-27
ebit_over_mktcap,0.08055664686977489,0.08055664686977489,4.908598610593717e-27
oancf_over_seq,0.0804234407747481,0.0804234407747481,5.958353223044622e-27
oiadp_over_mktcap,0.08037411305281,0.08037411305281,6.401174424631616e-27
dpvieb_over_emp,0.08035044530969682,0.08035044530969682,6.625076670702036e-27
ebitda_over_icapt,0.08001423981083067,0.08001423981083067,1.0784982316711424e-26
oibdp_over_icapt,0.08001423981083067,0.08001423981083067,1.0784982316711424e-26
oancf_over_at,0.07997997573178951,0.07997997573178951,1.1332813294708788e-26
ppegt_over_icapt,0.07997040869153511,0.07997040869153511,1.149064275908892e-26
re_d_over_emp,0.0798816447142122,0.0798816447142122,1.306291027907321e-26
ib_over_emp,0.07984533418602568,0.07984533418602568,1.376592824295422e-26
pi_over_emp,0.07982727653153647,0.07982727653153647,1.4129384508625364e-26
ibc_over_emp,0.0798146787675128,0.0798146787675128,1.4388564164884722e-26
ppeveb_over_icapt,0.07971105507332783,0.07971105507332783,1.6707240638213285e-26
rect_over_mktcap,0.07965023244860077,0.07965023244860077,1.82369265785391e-26
oancf_over_icapt,0.07955555351846821,0.07955555351846821,2.0898709146331607e-26
dilavx_over_at,0.07947059537603698,0.07947059537603698,2.3613088776824076e-26
rectr_over_mktcap,0.07940094752365914,0.07940094752365914,2.60967800775281e-26
dilavx_over_emp,0.07932838766091334,0.07932838766091334,2.8959877924630045e-26
sstk_over_at,-0.0792391369843778,0.0792391369843778,3.291164723736135e-26
dilavx_over_icapt,0.07911997626293521,0.07911997626293521,3.9032159071798597e-26
dp_over_xsga,0.07910309974330042,0.07910309974330042,3.998567430185346e-26
ibcom_over_emp,0.07906281191883123,0.07906281191883123,4.235628072307119e-26
che_over_at,-0.07904808282578836,0.07904808282578836,4.3257305563141333e-26
ibcom_over_at,0.07903890339230092,0.07903890339230092,4.382842294073745e-26
ib_over_at,0.07903742943740778,0.07903742943740778,4.3920821887518295e-26
ibadj_over_at,0.07902517517745924,0.07902517517745924,4.469652727701132e-26
ibadj_over_emp,0.07896699368548203,0.07896699368548203,4.8568788752851856e-26
ibc_over_at,0.07894201880358005,0.07894201880358005,5.033131678804376e-26
oibdp_over_seq,0.0788009980639596,0.0788009980639596,6.154042063619128e-26
ebitda_over_seq,0.0788009980639596,0.0788009980639596,6.154042063619128e-26
ibadj_over_icapt,0.07868229683914421,0.07868229683914421,7.286879894122771e-26
dpc_over_mktcap,0.07863202216613123,0.07863202216613123,7.826872374330405e-26
ibcom_over_icapt,0.07862371914671848,0.07862371914671848,7.919792482823835e-26
ib_over_icapt,0.07848231064319781,0.07848231064319781,9.681089095017779e-26
reuna_d_over_emp,0.07842993533476483,0.07842993533476483,1.042763526328451e-25
ibc_over_icapt,0.07840408171962147,0.07840408171962147,1.0816904179042036e-25
sstk_over_ppent,-0.07803194845589276,0.07803194845589276,1.8307701075719808e-25
fate_over_mktcap,0.0775214213269456,0.0775214213269456,3.7531362572586284e-25
ceq_over_mktcap,0.07726174549620142,0.07726174549620142,5.397446186412755e-25
niadj_over_at,0.07714323188101291,0.07714323188101291,6.368381964305011e-25
fincf_over_at,-0.07713246731206132,0.07713246731206132,6.464708662871915e-25
fincf_over_ppent,-0.07706246372707012,0.07706246372707012,7.127323506325431e-25
ni_over_lct,0.07705417296152338,0.07705417296152338,7.210125990643421e-25
ib_over_lct,0.07700302267581195,0.07700302267581195,7.7424748962749445e-25
ebitda_over_ceq,0.0769112162854671,0.0769112162854671,8.797420763481359e-25
oibdp_over_ceq,0.0769112162854671,0.0769112162854671,8.797420763481359e-25
dilavx_over_lct,0.07685759112087517,0.07685759112087517,9.478264978207787e-25
ibc_over_lct,0.0768106132643281,0.0768106132643281,1.011744642512328e-24
niadj_over_lct,0.07677286601681786,0.07677286601681786,1.0661826563491307e-24
ceql_over_mktcap,0.07677081822166536,0.07677081822166536,1.0692175234997323e-24
ni_over_at,0.07674625017175811,0.07674625017175811,1.1063018983116356e-24
ibadj_over_lct,0.07658477848467485,0.07658477848467485,1.3838157183182035e-24
ibcom_over_lct,0.07654932130877368,0.07654932130877368,1.4534361067081747e-24
sstk_over_icapt,-0.07628386748049262,0.07628386748049262,2.0974009540769423e-24
oibdp_over_lct,0.07620316754489437,0.07620316754489437,2.344209907399505e-24
ebitda_over_lct,0.07620316754489437,0.07620316754489437,2.344209907399505e-24
reuna_d_over_lct,0.0760928322906246,0.0760928322906246,2.7288018302582444e-24
che_over_act,-0.075972917615946,0.075972917615946,3.217865580358335e-24
ebit_over_at,0.07578783708589153,0.07578783708589153,4.1481212549889254e-24
oiadp_over_at,0.07574592160544363,0.07574592160544363,4.3932957246841774e-24
seq_over_mktcap,0.07499902017526483,0.07499902017526483,1.2158712971596357e-23
pi_over_icapt,0.07489744903837095,0.07489744903837095,1.395315977966806e-23
